Size,Threads,Odd-Even(ms),Quick(ms),Radix(ms),Best
100,1,0.0198,0.9314,3.1722,Quick
100,2,1.9944,4.7584,7.2512,Quick
100,4,2.636,6.145,11.2342,Quick
100,8,6.4422,12.8564,22.6908,Quick
200,1,0.0322,1.274,3.056,Quick
200,2,1.4778,4.5136,5.4946,Quick
200,4,2.417,8.5996,9.7982,Quick
200,8,5.0422,17.6998,20.3912,Quick
500,1,0.1064,3.1314,4.0854,Quick
500,2,1.6654,5.7766,5.9596,Quick
500,4,2.8696,10.266,16.7174,Quick
500,8,5.6426,20.9512,35.3282,Quick
1000,1,0.225,3.628,14.4034,Quick
1000,2,1.839,6.0562,20.1432,Quick
1000,4,3.2094,10.3574,27.1412,Quick
1000,8,5.2466,21.2548,65.122,Quick
1010,1,0.246,3.0728,14.0022,Quick
1010,2,2.2314,5.6844,23.8102,Quick
1010,4,3.3898,11.3752,26.7346,Quick
1010,8,5.5386,21.7782,67.1566,Quick
